When is the next meteor shower that I can see from Dallas , TX	[IN:GET_EVENT [SL:ORDINAL ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How long will it take me to get back to the house from here ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
How many miles is Avondale , Arizona to Rushford , New York	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
is the freeway clear	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
What is the traffic like on Main street right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
What events are happening tomorrow in Los Angeles	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION ] ]
How long is it going to take to get home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
concerts by Jimmy Buffet soon	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
anything to do in Orlando on Sunday	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
What can I expect on the 215 westbound	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Does Washington D.C . have a lot of traffic	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
If I leave here by 9 pm , will I get to Taipei by 11 pm ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
What kid friendly events are happening	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] ]
how long will it take to drive to Key Largo	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
How is traffic from Washington DC to Virginia	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
Are there any accidents on the road today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
what is the shortest drive time if I leave in 15 mins to Circus at American Airlines	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ] ] ]
Any accidents on my route	[IN:GET_INFO_TRAFFIC ]
Things to do around Rockefeller center on December 14th	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
What is there to do in Gresham tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
how long will it take me to reach my work if i take the bus to my work today ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] [SL:METHOD_TRAVEL ] [SL:DATE_TIME_DEPARTURE ] ]
if i leave here now will i make it home by 6 pm	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL ] ]
i need to be downtown at 3 pm , what time should i leave from my next meeting to get there in time	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] [SL:SOURCE [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:ORDINAL ] [SL:CATEGORY_EVENT ] ] ] ]
How is the traffic to get to LAX today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
is traffic bad on the way to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
popular concerts for next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
If I left now would I make it to the civic center by 5 pm	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Is there black ice on the roads to Prescott this morning ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
What should we do in Paris on Saturday	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
How long will it take me to get to Taste of Chicago if I leave at 2 pm today ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Any good book signing events near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
What is the best time of day to leave Oceanside to head to Riverside	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE ] [SL:DESTINATION ] ]
I want a list of places doing Thanksgiving dinners	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
Is the Buckman bridge bumper to bumper traffic right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
what kind of party in Disney over the week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
Where are there construction delays on my route home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Myrtle beach fireworks in July	[IN:GET_EVENT [SL:LOCATION ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the traffic time from Grand Canyon to Los Angeles	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION ] ]
What is the quickest way to get to Tampa	[IN:GET_DIRECTIONS [SL:DESTINATION ] ]
Get directions to my office from John 's apartment in Plainfield .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] ] ] ]
Music release parties in the next 3 months	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
hair shows in Atlanta next Spring	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Can you give me directions to the mall from my office	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] ]
If I leave at 1 pm when will I arrive in Seattle	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
how is traffic today in seattle	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
how long is my commute if i use the bus from Pearl Harbor to Waikiki	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
What time do I arrive fro nearest highway if i leave in 5 minutes ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
How long does it take to get from the South side of town to the North side of town ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
What is happening next month	[IN:GET_EVENT [SL:DATE_TIME ] ]
Show me New Years Eve parties	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
how many miles is it from akron to thailand	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
hows the traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
How long will it take to get to work from here	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
I heard the snow is bad outside , is now the best time to go to make it to the concert at 7 ?	[IN:GET_ESTIMATED_DEPARTURE [SL:ROAD_CONDITION ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
Please provide a traffic report for today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
will I be able to make to work on time with these traffic conditions ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
what is the travel time to work today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
What is the traffic driving from University Park to Harrisburg	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION ] ]
What can I do today	[IN:GET_EVENT [SL:DATE_TIME ] ]
Should I expect traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Can I get directions to the hotel that 's located next to Cash 's Faux Pas in Ft . Walton , Florida ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] ] ] ]
Traffic times on this route	[IN:GET_ESTIMATED_DURATION ]
are there any wrecks near me	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
is highway 10 clear of traffic	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What hockey events are going on in Grand Forks this coming month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
I am planning to drive from San Francisco to New York City this fall for fashion week - how long will it take ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION [IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ] ] ]
Rave dance events in Miami , FL tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What routes can I take to get to the Civil Right 's Museum in Memphis ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] ]
Show me how to avoid the Traffic on my Drive to work	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Will the ice on the road have cleared up before the festival downtown starts ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:LOCATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ] ] ]
What time should I leave if I want to make it to work by 9 am ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_ARRIVAL ] ]
What time should I leave to make it to the Cavs basketball game by 7 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
traffic to 5069 springfair run	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Musicals in San Francisco tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Traffic stopped	[IN:GET_INFO_TRAFFIC ]
distance from San Diego to Oceanside	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Is traffic heavy in Henry county today	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Any back ups near Lakewood this morning	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] [SL:DATE_TIME ] ]
Give me directions to the Imperial Theater in NYC leaving at 4 pm	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
What is the distance between Pensacola and Tampa	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
How is traffic on I - 35 near me now	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ] ] [SL:DATE_TIME ] ]
events in the MIA	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Are there any accidents on 75 south	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
how many miles is california from denver	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:DESTINATION ] [SL:SOURCE ] ]
I want to find Christmas events in Melbourne for this weekend	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Are there any accidents on the way to the Yankee 's game ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
Is there any construction work on the roads to my grandma 's house ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] ]
How long does it take to get to Washington , NJ from my house in Allamuchy ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] ] ] ]
What parties can I get into tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How long will it take me to drive from my house to the Celine Dion concert	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
How many miles between my house and the closest hospital	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
folk music concerts this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Are there any delays going to Greensboro ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
any new movies to see near me tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
will the accident on i5 make me miss the morning meeting	[IN:GET_ESTIMATED_ARRIVAL [SL:PATH ] [SL:DESTINATION [IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ] ] ]
will i hit any construction on hwy 45 on my way to country thunder in green bay	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ] ] ]
I want to find a children 's event to take my children to in Birmingham this week	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:ATTENDEE_EVENT [IN:GET_CONTACT [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How 's the delays on I 75	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
is there traffic driving to walmart	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Any parties going on downtown tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What is the driving distance between Daytona and Dallas	[IN:GET_DISTANCE [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
how does traffic look for today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
how long is it to home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
tours by Future in 2018	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:DATE_TIME ] ]
Directions to LAX Post Office	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How much time to get to my mom 's house with all this snow ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:ROAD_CONDITION ] ]
Huntsville traffic conditions	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What 's the distance between rochester and buffalo	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Things to do in Portland tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
What events are going on in Leander	[IN:GET_EVENT [SL:LOCATION ] ]
How many miles away is Tokyo from my current location ?	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
things to do in Orlando next month	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Is the strong winds slowing down tragic	[IN:GET_INFO_TRAFFIC ]
what is holding up the traffic up	[IN:GET_INFO_TRAFFIC ]
What is the traffic driving from Bridgeport to New Haven	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Farmers Market dates this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
how many hours from here to nashville	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] ]
I need to get to Medford by 7 : 30 what is the latest I can leave the house	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
traffic downtown please	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
how long would it take to drive from Orlando to San Diego ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
WHAT FAMILY FUN EVENTS AT DISNEY NEXT MONTH	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
ETA home	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Are there any charity parties happening in Seattle this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
is highway 44 backed up right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Leaving in 5 min will i make it to the concert ontime if i stop to pick up Monica ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] [SL:WAYPOINT [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
What 's going on in West Palm	[IN:GET_EVENT [SL:LOCATION ] ]
What is the quickest route from Tennessee to Louisiana ?	[IN:GET_DIRECTIONS [SL:SOURCE ] [SL:DESTINATION ] ]
What are the times for the Nutcracker in ST Augustine	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
midnight Halloween show will be scary for all	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
how is the traffic from home to work this morning	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
whats eta	[IN:GET_ESTIMATED_ARRIVAL ]
little chute events for kids under 6	[IN:GET_EVENT [SL:LOCATION ] [SL:ATTRIBUTE_EVENT ] ]
When are the roads the busy today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
What time should I leave my house in order to get to the movie on time ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ]
In what time I will get Ali ' House if I start driving now ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:METHOD_TRAVEL ] [SL:DATE_TIME_DEPARTURE ] ]
for how long i have to drive to international drive	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
Are there any conventions going on near me this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
Events in Chicago	[IN:GET_EVENT [SL:LOCATION ] ]
List for me the concerts happening this weekend in LA	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
Opera 's in New York City	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Concerts by Lady Gaga	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
How long will it take me to drive from my house to the Comedy show	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ]
tell me the traffic please	[IN:GET_INFO_TRAFFIC ]
how long will it take me to drive to grandma 's house from here ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
How far is Huntington Beach from Eastvale	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
How is traffic tonight	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Can I get to Stanford by 3 : 00 pm by train ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] [SL:METHOD_TRAVEL ] ]
What is happening in St . George tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
anything fun happening next month	[IN:GET_EVENT [SL:DATE_TIME ] ]
I need traffic info from Denver to Boulder	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
Baking classes in Santa Rosa this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
what is the quickest and fastest way to get to my interview that I have today before 5 pm ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Any traffic accidents to report	[IN:GET_INFO_TRAFFIC ]
what is the drive time between Orlando & Louisville	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Fun things to do over the weekend	[IN:GET_EVENT [SL:DATE_TIME ] ]
Are their any accidents	[IN:GET_INFO_TRAFFIC ]
If I leave at 5 pm , how long will it take me to get to Seattle ?	[IN:GET_ESTIMATED_DURATION [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
how long will it take me to drive my Los Angeles to New York , New York if I left right now ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
whats the best way to avoid the traffic near the antique show this weekend leaving from my house to go to moms ?	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] ]
what is the distance from charlotte to asheville north carolina	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Are there any slow downs on the way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
how far is china from france	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
Tell me what the traffic is like between here and Eau Claire	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] ]
Take me to San Antonio Texas and no toll roads ?	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:PATH_AVOID ] ]
What is the best route from Manhattan to Rye	[IN:GET_DIRECTIONS [SL:SOURCE ] [SL:DESTINATION ] ]
Has the wreck near Peters Creek Parkway been cleaned up yet ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
What is the traffic situation in Broward County	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long will it take me to get to Ruler if I leave now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
Will the road conditions be icy on the way to movie theater .	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Traffic this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Chess tournaments happening this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Any events in Palo Alto this weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
halloween parties this weekend in miami	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
how heavy is traffic near me	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ] ] ]
